id,name,host_id,host_name,neighbourhood,latitude,longtitude,room_type,price,reviews_per_month,license
1995592,"Charming Kitsilano Family Place""""""""",10285482,Allan And Ellen,Kitsilano,49.263252,-123.164825,Private room,110,0.03,22-155953
2008047,Amazing View from a Modern Loft,7745079,Chad,Strathcona,49.28519,-123.09872,Entire home/apt,120,3.74,18-579472
2011559,Sunny family-friendly house in Kits,9372276,Rica,Kitsilano,49.26057,-123.15881,Entire home/apt,575,,22-157347
2033952,Beautiful Kitsilano - Covid-19 Safe,557301,Tyler,Kitsilano,49.26715,-123.15325,Entire home/apt,99,0.93,20162988
2042431,Yaletown 1BD Condo @ Homer & Robson,9582918,Sandy,Downtown,49.28005,-123.11659,Entire home/apt,110,3.62,no license number
2084273,Gorgeous New House Double Ensuite,7940236,Renee,Renfrew-Collingwood,49.24976,-123.03547,Private room,75,0.51,no license number
2092610,A spacious modern apartment,1172047,Trevor,Mount Pleasant,49.2655,-123.0969,Entire home/apt,131,0.11,no license number
2106364,Gorgeous New House Single Ensuite,7940236,Renee,Renfrew-Collingwood,49.24958,-123.0359,Private room,65,0.05,no license number
2168943,South Granville 2 bedroom townhome,11065739,Catherine,Fairview,49.25972,-123.14269,Entire home/apt,175,0.15,19-162542
2183209,Kitsilano PENTHOUSE,11132986,Daniel,Kitsilano,49.26597,-123.15633,Entire home/apt,100,0.06,19-162396
2188113,5 star Luxury ShangriLa hotel condo,477297,Hanna & Michael,West End,49.28514,-123.12275,Entire home/apt,400,0.13,19-104984
2198419,Gorgeous home in Yaletown,11214436,Kate,Downtown,49.2773,-123.12294,Entire home/apt,115,0.02,no license number
2216062,Bright Kitsilano Garden Apartment,11304608,Julie,West Point Grey,49.26992,-123.18596,Entire home/apt,90,,22-156107
2273714,Charming Apartment just off Commercial Drive,1710238,Emily,Grandview-Woodland,49.27228,-123.06946,Entire home/apt,150,1.78,19-162755
2282114,Perfect spot for your next family vacation,19916,Cathy + Tom,Dunbar Southlands,49.23792,-123.18224,Entire home/apt,700,0.02,22-155901
2361393,Cozy Vancouver Suite near a park and transit,366483,Michelle,Kensington-Cedar Cottage,49.239,-123.08606,Entire home/apt,95,0.18,19-2210681
2365994,Gem Modern Apartment in Yaletown,12014048,Hayfa,West End,49.28298,-123.12339,Entire home/apt,150,0.03,18-609155
2454353,Vancouver Quality Coach House,10997524,Mark & Fran,Kensington-Cedar Cottage,49.23748,-123.08735,Entire home/apt,125,0.13,no license number
2493042,False creek penthouse with view,11852508,Sam,Fairview,49.26254,-123.13054,Entire home/apt,135,0.06,no license number
2502137,New Edwardian home,7110433,Suzanna,Mount Pleasant,49.25877,-123.08299,Entire home/apt,75,1.04,19-224723
2521520,2 bedroom  house Central location (M),12487338,Daily,Killarney,49.21083,-123.04264,Entire home/apt,232,0.4,no license number
2576878,"Bright 1 bed suite, great location",4217281,Jennifer,Fairview,49.25865,-123.12294,Entire home/apt,106,7.72,no license number
2592307,Ann's Place,13270979,Ann,South Cambie,49.25222,-123.1186,Entire home/apt,112,1.84,22-156185
2632171,Yvette's place,13480596,Yvette,Hastings-Sunrise,49.2883,-123.04216,Private room,100,,21-156-492
2637519,Heritage Splendor Commercial Drive,13505875,Jordan,Grandview-Woodland,49.27261,-123.0703,Entire home/apt,358,0.55,19-266670
2644110,Modern 2 Level Loft in East Van,9060366,Marc,Grandview-Woodland,49.28545,-123.06435,Entire home/apt,113,0.23,18-603704
2653578,LOCATION!!! RENOVATED!!! SLEEPS 2-4!!,13584295,Breanna,Downtown,49.28044,-123.12496,Entire home/apt,124,0.46,22-156032
2669445,Laneway Home with a view,13664708,De,West Point Grey,49.27109,-123.2088,Entire home/apt,70,0.49,no license number
2672380,Amazing neighbourhood!,13682119,Stephanie,Dunbar Southlands,49.24801,-123.1883,Entire home/apt,450,0.06,18-549543
2764812,Your Alternative to a 5 Star Hotel.,63434,Jan,Downtown,49.27992,-123.12658,Entire home/apt,255,0.21,22-157509
2812038,Vancouver 2 bd trendy Main street,5213892,Heidi,Mount Pleasant,49.25665,-123.10039,Entire home/apt,215,0.06,20-116887
